
2011003457-1,04/01/2011,A72,DIEFSTAL FIETS,N,DISTRICT 10,BARENDRECHT,BARENDRECHT,07 NOORD 4,STATIONSWEG,WO,29/12/2010,16:00,ZA,01/01/2011,18:00,2010,12,VR,00:00-05:59,DAMES,FIETS,GAZELLE,ORANGE LIM,GRIJS
2011003493-1,04/01/2011,A72,DIEFSTAL FIETS,N,DISTRICT 4,BINNENROTTE/OUDE HAVEN,ROTTERDAM,10 STADSDRIEHOEK,GROTEKERKPLEIN,MA,03/01/2011,20:30,MA,03/01/2011,23:00,2011,1,MA,18:00-23:59,0,FIETS,ONBEKEND,KLEVE VALENCIA,ZWART
2011003588-1,04/01/2011,A72,DIEFSTAL FIETS,N,DISTRICT 10,TARWEWIJK/OUD-CHARLOIS/CARNISSE/ZUIDWIJK/PENDRECHT,ROTTERDAM,78 ZUIDERPARK,GROENE KRUISWEG,MA,03/01/2011,08:30,MA,03/01/2011,16:05,2011,1,MA,12:00-17:59,HEREN,FIETS,GAZELLE,ORANGE PLUS ORA,ZILVERKLEURIG
2011003664-1,04/01/2011,A72,DIEFSTAL FIETS,N,DISTRICT 5,WALENBURGERWEG/OUDE NOORDEN,ROTTERDAM,34 LISKWARTIER,RODENRIJSESTRAAT,ZA,25/12/2010,13:00,ZA,25/12/2010,15:30,2010,12,ZA,12:00-17:59,DAMES,FIETS,BATAVUS,WINNER,GROEN
2011004030-1,05/01/2011,A72,DIEFSTAL FIETS,N,DISTRICT 10,BARENDRECHT,BARENDRECHT,06 NOORD 3,KRUIDENTUIN,DI,04/01/2011,14:00,DI,04/01/2011,22:00,2011,1,DI,18:00-23:59,DAMES,FIETS,GAZELLE,CHAM PLUS  VV,ONBEKEND
2011004338-1,05/01/2011,A72,DIEFSTAL FIETS,N,DISTRICT 11,HELLEVOETSLUIS,HELLEVOETSLUIS,03 KULCK-ZUID,SPORTLAAN,MA,03/01/2011,19:00,MA,03/01/2011,19:05,2011,1,MA,18:00-23:59,HEREN,FIETS,GAZELLE,CHAMONIX EXCELL,GRIJS
2011004440-1,05/01/2011,A72,DIEFSTAL FIETS,N,DISTRICT 6,ALEXANDER NOORD,ROTTERDAM,66 ZEVENKAMP,COLE PORTERSTRAAT,ZA,01/01/2011,00:00,ZA,01/01/2011,02:00,2011,1,ZA,00:00-05:59,HEREN,FIETS,GAZELLE,AMBIANCE TROMM.,ONBEKEND
2011004458-1,05/01/2011,A72,DIEFSTAL FIETS,N,DISTRICT 10,HOOGVLIET/PERNIS,HOOGVLIET ROTTERDAM,99 HOOGVLIET-ZUID,LENGWEG,WO,05/01/2011,14:50,WO,05/01/2011,15:10,2011,1,WO,12:00-17:59,DAMES,FIETS,BATAVUS,0,MEERKLEURIG
2011004475-1,05/01/2011,A72,DIEFSTAL FIETS,N,DISTRICT 6,ALEXANDER ZUID,ROTTERDAM,49 HET LAGE LAND,JAAP VAN DER HOEKPLAATS,ZO,02/01/2011,16:30,ZO,02/01/2011,18:00,2011,1,ZO,12:00-17:59,HEREN,FIETS,UNION,QUADRA,BLAUW
2011004647-1,05/01/2011,A72,DIEFSTAL FIETS,N,DISTRICT 11,HELLEVOETSLUIS,HELLEVOETSLUIS,00 NIEUW-HELVOET,MORIAANSEWEG WEST,MA,03/01/2011,13:30,MA,03/01/2011,13:40,2011,1,MA,12:00-17:59,DAMES,FIETS,GIANT,URBAN,CHROOMKLEURIG
2011004846-1,05/01/2011,B63,DIEFSTAL MET GEWELD BROMFIETS/SNORFIETS,N,DISTRICT 11,SPIJKENISSE,HEKELINGEN,01 HEKELINGEN-DORP,GADDIJK,WO,05/01/2011,22:45,WO,05/01/2011,23:00,2011,1,WO,18:00-23:59,,SCOOTER,YAMAHA,SA22,ONBEKEND
2011004932-1,06/01/2011,B62,DIEFSTAL MET GEWELD FIETS,N,DISTRICT 1,SCHIEDAM,SCHIEDAM,03 STAATSLIEDENBUURT,NIEUWE DAMLAAN,DO,06/01/2011,07:45,DO,06/01/2011,07:45,2011,1,DO,06:00-11:59,TELEFOON,COMMUNICATIEAP,SAMSUNG,I9000,ZWART
